SECTOR EMPRESARIAL;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;SOLUCIONES T;AMBIENTE;SISTEMA DE OI;RELACIONES I;OFERTA GS;C CLIENTE;IMAGEN;CALIDAD T;CALIDAD F;IMAGEN
Servicios al comercio;3;3;3;3;5;3;3;5;3;4;5;5;4;3;3;3;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;2;3;3;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;3,29;4,40;3,57;3,71;3,63;3,67;4,00;3,68;3,67;4,00
Servicios al comercio;5;4;5;5;5;5;5;3;4;4;5;3;5;4;5;5;5;5;5;5;4;5;5;5;4;4;4;5;5;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;4;4;5;4;5;5;2;3;3;5;4;5;5;4,86;3,80;4,86;4,71;4,74;2,67;4,75;4,58;4,56;4,75
Servicios integrados;5;4;5;5;5;5;3;3;5;5;3;4;4;5;4;5;5;5;5;5;4;4;5;5;5;4;4;4;4;5;5;5;4;5;5;3;3;3;5;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;4;4;5;5;4,57;4,00;4,71;4,50;4,63;4,67;4,50;4,47;4,58;4,50
Servicios integrados;4;1;4;3;4;4;1;5;3;3;3;1;3;1;3;4;5;4;5;5;3;1;3;5;4;5;5;5;4;3;5;1;5;5;5;1;4;4;4;4;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;3;5;5;3;3,00;3,00;3,57;3,86;4,47;5,00;4,00;3,21;4,28;4,00
Servicios integrados;5;4;4;5;5;5;4;3;4;4;5;2;2;3;1;4;4;3;3;4;3;3;3;4;4;4;4;4;3;3;4;5;4;5;5;5;3;4;4;5;5;5;5;5;5;5;3;4;4;4;4;4;4;4;1;3;3;4;3;4,57;3,60;2,86;3,71;4,42;3,00;3,25;3,68;4,03;3,25
Servicios integrados;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4,86;4,80;5,00;5,00;5,00;5,00;5,00;4,89;5,00;5,00
Servicios integrados;4;5;4;4;5;4;5;5;5;5;4;4;5;5;4;5;5;5;5;4;4;5;5;5;5;5;5;4;5;5;5;5;5;4;5;5;4;4;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;3;4,43;4,60;4,86;4,79;4,74;5,00;4,00;4,63;4,78;4,00
Servicios integrados;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;4;4;5;4;4;5;4;5;4;4;3;5;4;4;5;5;4;5;4;5;4;4;5;5;5;5;4;4;5;5;4;4;4;5;5;5;5;4;4;5;3;3;3;4,71;4,80;4,71;4,29;4,58;4,33;3,50;4,74;4,44;3,50
Servicios integrados;4;4;4;5;5;4;5;4;4;5;5;5;4;4;5;5;4;5;4;3;3;4;4;5;4;4;5;4;5;5;5;4;4;4;4;4;4;4;4;5;5;5;5;4;5;5;4;4;4;5;4;4;4;5;4;4;5;4;5;4,43;4,60;4,43;4,21;4,37;4,33;4,50;4,47;4,31;4,50
Servicios integrados;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;4;4;5;4;4;5;4;5;4;4;3;5;4;4;5;5;4;5;4;5;4;4;5;5;5;5;4;4;5;5;4;4;4;5;5;5;5;4;4;5;3;3;3;4,71;4,80;4,71;4,29;4,58;4,33;3,50;4,74;4,44;3,50
Servicios integrados;5;5;5;5;4;5;3;5;4;5;4;5;4;4;4;5;5;5;5;5;4;4;4;5;4;4;4;5;4;4;5;5;5;5;5;5;4;4;5;5;5;5;5;5;4;5;4;4;5;4;4;5;5;5;5;5;5;5;5;4,57;4,60;4,57;4,43;4,63;5,00;5,00;4,58;4,58;5,00
Servicios integrados;3;3;3;3;5;3;3;5;3;4;5;5;4;3;3;3;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;2;3;3;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;3,29;4,40;3,57;3,71;3,63;3,67;4,00;3,68;3,67;4,00
Servicios turisticos;4;3;5;4;5;5;3;4;3;4;4;2;2;4;3;5;4;5;5;3;4;5;5;5;5;5;5;5;3;4;5;5;2;1;4;4;3;4;5;5;4;3;5;5;5;4;5;4;4;5;5;4;4;5;4;4;5;5;5;4,14;3,40;4,00;4,36;4,16;4,33;4,75;3,89;4,25;4,75
Servicios turisticos;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4,86;4,80;5,00;5,00;5,00;5,00;5,00;4,89;5,00;5,00
Servicios turisticos;5;5;5;5;5;5;5;5;5;4;5;4;4;5;5;5;4;5;5;4;4;5;4;5;4;3;2;4;4;3;5;4;4;5;4;4;4;4;4;4;5;4;4;5;5;4;3;4;4;4;4;4;4;4;4;4;5;4;5;5,00;4,60;4,71;3,93;4,16;4,00;4,50;4,79;4,06;4,50
Servicios turisticos;4;4;4;5;5;4;4;5;4;4;5;5;2;2;2;2;4;4;4;4;4;4;4;4;4;4;3;5;5;3;4;2;3;5;4;3;4;4;5;5;5;3;5;5;5;5;4;4;4;4;5;5;5;4;4;4;4;4;4;4,29;4,60;2,86;3,79;4,42;4,33;4,00;3,84;4,17;4,00
Servicios turisticos;4;5;4;3;3;5;4;5;4;5;4;4;5;4;3;5;4;4;4;5;5;4;5;4;5;4;4;5;4;4;5;5;4;5;5;;3;5;5;4;4;5;4;5;5;4;5;4;5;5;5;4;4;3;5;3;5;5;3;4,00;4,40;4,14;4,50;4,56;4,00;4,00;4,16;4,49;4,00
Servicios turisticos;4;5;4;3;3;5;4;5;4;5;4;4;5;4;3;5;4;4;4;5;5;4;5;4;5;4;4;5;4;4;5;5;4;5;5;;3;5;5;4;4;5;4;5;5;4;5;4;5;5;5;4;4;3;5;3;5;5;3;4,00;4,40;4,14;4,50;4,56;4,00;4,00;4,16;4,49;4,00
Servicios turisticos;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;4;5;5;5;5;4;5;4;5;5;5;4;4;5;4;5;2;3;4;5;5;4;5;4;5;5;4;5;5;5;5;5;5;4;5;5;4;4;5;4;5;4;5;4;5,00;4,80;4,71;4,29;4,68;4,33;4,50;4,84;4,50;4,50
Servicios turisticos;4;5;4;5;5;4;5;5;4;4;4;4;4;4;5;4;4;3;4;3;3;5;5;5;4;3;4;4;3;4;4;5;5;5;5;4;5;4;4;4;5;5;4;4;4;5;4;4;4;4;5;5;4;4;4;5;5;4;5;4,57;4,20;4,00;4,07;4,42;4,00;4,75;4,26;4,25;4,75
Servicios turisticos;4;4;4;5;5;4;5;4;4;5;5;5;4;4;5;5;4;5;4;3;3;4;4;5;4;4;5;4;5;5;5;4;4;4;4;4;4;4;4;5;5;5;5;4;5;5;4;4;4;5;4;4;4;5;4;4;5;4;5;4,43;4,60;4,43;4,21;4,37;4,33;4,50;4,47;4,31;4,50
Servicios turisticos;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;2;2;5;4;4;2;2;4;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;2;5;2;2;4;4;4;4;4;4;4;4;4;4;4;4,00;4,00;3,00;2,43;3,63;4,00;4,00;3,63;3,19;4,00
Servicios turisticos;4;4;4;4;3;4;4;4;2;4;4;4;4;4;4;3;3;3;3;4;4;5;4;5;4;4;4;4;3;3;4;4;4;2;4;4;4;4;4;4;5;4;4;4;3;4;5;5;4;4;4;4;4;4;2;3;3;4;4;3,86;3,60;3,43;4,00;4,00;3,33;3,50;3,63;3,94;3,50
